route_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,service_id
CIN_555,CIN_05550071130,,,0,,CIN_0555007,0,0,CIN_05550071130
CIN_555,CIN_05550071226,,,0,,CIN_0555007,0,0,CIN_05550071226
CIN_555,CIN_05550071245,,,0,,CIN_0555007,0,0,CIN_05550071245
CIN_555,CIN_05550071400,,,0,,CIN_0555007,0,0,CIN_05550071400
CIN_555,CIN_05550071422,,,0,,CIN_0555007,0,0,CIN_05550071422
CIN_555,CIN_05550071530,,,0,,CIN_0555007,0,0,CIN_05550071530
CIN_555,CIN_05550071645,,,0,,CIN_0555007,0,0,CIN_05550071645
CIN_555,CIN_05550071800,,,0,,CIN_0555007,0,0,CIN_05550071800
CIN_555,CIN_05550071801,,,0,,CIN_0555007,0,0,CIN_05550071801
CIN_555,CIN_05550071915,,,0,,CIN_0555007,0,0,CIN_05550071915
CIN_555,CIN_05550071920,,,0,,CIN_0555007,0,0,CIN_05550071920
CIN_555,CIN_05550072030,,,0,,CIN_0555007,0,0,CIN_05550072030
CIN_555,CIN_05550072045,,,0,,CIN_0555007,0,0,CIN_05550072045
CIN_555,CIN_05550072200,,,0,,CIN_0555007,0,0,CIN_05550072200
CIN_555,CIN_05550072230,,,0,,CIN_0555007,0,0,CIN_05550072230
CIN_555,CIN_05551010620,,,1,,CIN_0555101,0,0,CIN_05551010620
CIN_555,CIN_05551010630,,,1,,CIN_0555101,0,0,CIN_05551010630
CIN_555,CIN_05551010650,,,1,,CIN_0555101,0,0,CIN_05551010650
CIN_555,CIN_05551010730,,,1,,CIN_0555101,0,0,CIN_05551010730
CIN_555,CIN_05551010735,,,1,,CIN_0555101,0,0,CIN_05551010735
CIN_555,CIN_05551010825,,,1,,CIN_0555101,0,0,CIN_05551010825
CIN_555,CIN_05551010845,,,1,,CIN_0555101,0,0,CIN_05551010845
CIN_555,CIN_05551010855,,,1,,CIN_0555101,0,0,CIN_05551010855
CIN_555,CIN_05551010925,,,1,,CIN_0555101,0,0,CIN_05551010925
CIN_555,CIN_05551010945,,,1,,CIN_0555101,0,0,CIN_05551010945
CIN_555,CIN_05551011020,,,1,,CIN_0555101,0,0,CIN_05551011020
CIN_555,CIN_05551011100,,,1,,CIN_0555101,0,0,CIN_05551011100
CIN_555,CIN_05551011101,,,1,,CIN_0555101,0,0,CIN_05551011101
CIN_555,CIN_05551011130,,,1,,CIN_0555101,0,0,CIN_05551011130
CIN_555,CIN_05551011155,,,1,,CIN_0555101,0,0,CIN_05551011155
CIN_555,CIN_05551011200,,,1,,CIN_0555101,0,0,CIN_05551011200
CIN_555,CIN_05551011250,,,1,,CIN_0555101,0,0,CIN_05551011250
CIN_555,CIN_05551011315,,,1,,CIN_0555101,0,0,CIN_05551011315
CIN_555,CIN_05551011330,,,1,,CIN_0555101,0,0,CIN_05551011330
CIN_555,CIN_05551011400,,,1,,CIN_0555101,0,0,CIN_05551011400
CIN_555,CIN_05551011415,,,1,,CIN_0555101,0,0,CIN_05551011415
CIN_555,CIN_05551011430,,,1,,CIN_0555101,0,0,CIN_05551011430
CIN_555,CIN_05551011515,,,1,,CIN_0555101,0,0,CIN_05551011515
CIN_555,CIN_05551011530,,,1,,CIN_0555101,0,0,CIN_05551011530
CIN_555,CIN_05551011600,,,1,,CIN_0555101,0,0,CIN_05551011600
CIN_555,CIN_05551011625,,,1,,CIN_0555101,0,0,CIN_05551011625
CIN_555,CIN_05551011631,,,1,,CIN_0555101,0,0,CIN_05551011631
CIN_555,CIN_05551011710,,,1,,CIN_0555101,0,0,CIN_05551011710
CIN_555,CIN_05551011745,,,1,,CIN_0555101,0,0,CIN_05551011745
CIN_555,CIN_05551011750,,,1,,CIN_0555101,0,0,CIN_05551011750
CIN_555,CIN_05551011845,,,1,,CIN_0555101,0,0,CIN_05551011845
CIN_555,CIN_05551011846,,,1,,CIN_0555101,0,0,CIN_05551011846
CIN_555,CIN_05551011910,,,1,,CIN_0555101,0,0,CIN_05551011910
CIN_555,CIN_05551011955,,,1,,CIN_0555101,0,0,CIN_05551011955
CIN_555,CIN_05551012000,,,1,,CIN_0555101,0,0,CIN_05551012000
CIN_555,CIN_05551012035,,,1,,CIN_0555101,0,0,CIN_05551012035
CIN_555,CIN_05551012100,,,1,,CIN_0555101,0,0,CIN_05551012100
CIN_555,CIN_05551012101,,,1,,CIN_0555101,0,0,CIN_05551012101
CIN_555,CIN_05551012120,,,1,,CIN_0555101,0,0,CIN_05551012120
CIN_555,CIN_05551012215,,,1,,CIN_0555101,0,0,CIN_05551012215
CIN_555,CIN_05551012220,,,1,,CIN_0555101,0,0,CIN_05551012220
CIN_555,CIN_05551032130,,,1,,CIN_0555103,0,0,CIN_05551032130
CIN_555,CIN_05551032215,,,1,,CIN_0555103,0,0,CIN_05551032215
CIN_555,CIN_05551090610,,,1,,CIN_0555109,0,0,CIN_05551090610
CIN_555,CIN_05551090626,,,1,,CIN_0555109,0,0,CIN_05551090626
CIN_555,CIN_05551090714,,,1,,CIN_0555109,0,0,CIN_05551090714
CIN_555,CIN_05551090827,,,1,,CIN_0555109,0,0,CIN_05551090827
CIN_555,CIN_05551090935,,,1,,CIN_0555109,0,0,CIN_05551090935
CIN_555,CIN_05551090944,,,1,,CIN_0555109,0,0,CIN_05551090944
CIN_555,CIN_05551091045,,,1,,CIN_0555109,0,0,CIN_05551091045
CIN_555,CIN_05551091145,,,1,,CIN_0555109,0,0,CIN_05551091145
CIN_555,CIN_05551091200,,,1,,CIN_0555109,0,0,CIN_05551091200
CIN_555,CIN_05551091315,,,1,,CIN_0555109,0,0,CIN_05551091315
CIN_555,CIN_05551091350,,,1,,CIN_0555109,0,0,CIN_05551091350
CIN_555,CIN_05551091455,,,1,,CIN_0555109,0,0,CIN_05551091455
CIN_555,CIN_05551091608,,,1,,CIN_0555109,0,0,CIN_05551091608
CIN_555,CIN_05551091715,,,1,,CIN_0555109,0,0,CIN_05551091715
CIN_555,CIN_05551091720,,,1,,CIN_0555109,0,0,CIN_05551091720
CIN_555,CIN_05551091830,,,1,,CIN_0555109,0,0,CIN_05551091830
CIN_555,CIN_05551091840,,,1,,CIN_0555109,0,0,CIN_05551091840
CIN_555,CIN_05551091945,,,1,,CIN_0555109,0,0,CIN_05551091945
CIN_555,CIN_05551092006,,,1,,CIN_0555109,0,0,CIN_05551092006
CIN_559,CIN_05590010656,,,0,,CIN_0559001,0,0,CIN_05590010656
CIN_559,CIN_05590010755,,,0,,CIN_0559001,0,0,CIN_05590010755
CIN_559,CIN_05590010854,,,0,,CIN_0559001,0,0,CIN_05590010854
CIN_559,CIN_05590010954,,,0,,CIN_0559001,0,0,CIN_05590010954
CIN_559,CIN_05590011054,,,0,,CIN_0559001,0,0,CIN_05590011054
CIN_559,CIN_05590011154,,,0,,CIN_0559001,0,0,CIN_05590011154
CIN_559,CIN_05590011254,,,0,,CIN_0559001,0,0,CIN_05590011254
CIN_559,CIN_05590011354,,,0,,CIN_0559001,0,0,CIN_05590011354
CIN_559,CIN_05590011454,,,0,,CIN_0559001,0,0,CIN_05590011454
CIN_559,CIN_05590011554,,,0,,CIN_0559001,0,0,CIN_05590011554
CIN_559,CIN_05590011654,,,0,,CIN_0559001,0,0,CIN_05590011654
CIN_559,CIN_05590011754,,,0,,CIN_0559001,0,0,CIN_05590011754
CIN_559,CIN_05590011854,,,0,,CIN_0559001,0,0,CIN_05590011854
CIN_559,CIN_05590011954,,,0,,CIN_0559001,0,0,CIN_05590011954
CIN_559,CIN_05590012054,,,0,,CIN_0559001,0,0,CIN_05590012054
CIN_559,CIN_05590022154,,,0,,CIN_0559002,0,0,CIN_05590022154
CIN_559,CIN_05590030656,,,0,,CIN_0559003,0,0,CIN_05590030656
CIN_559,CIN_05590030755,,,0,,CIN_0559003,0,0,CIN_05590030755
CIN_559,CIN_05590030854,,,0,,CIN_0559003,0,0,CIN_05590030854
CIN_559,CIN_05590030954,,,0,,CIN_0559003,0,0,CIN_05590030954
CIN_559,CIN_05590031054,,,0,,CIN_0559003,0,0,CIN_05590031054
CIN_559,CIN_05590031154,,,0,,CIN_0559003,0,0,CIN_05590031154
CIN_559,CIN_05590031254,,,0,,CIN_0559003,0,0,CIN_05590031254
CIN_559,CIN_05590031354,,,0,,CIN_0559003,0,0,CIN_05590031354
CIN_559,CIN_05590031454,,,0,,CIN_0559003,0,0,CIN_05590031454
CIN_559,CIN_05591020640,,,1,,CIN_0559102,0,0,CIN_05591020640
CIN_559,CIN_05591020702,,,1,,CIN_0559102,0,0,CIN_05591020702
CIN_559,CIN_05591020742,,,1,,CIN_0559102,0,0,CIN_05591020742
CIN_559,CIN_05591040640,,,1,,CIN_0559104,0,0,CIN_05591040640
CIN_559,CIN_05591050725,,,1,,CIN_0559105,0,0,CIN_05591050725
CIN_559,CIN_05591050824,,,1,,CIN_0559105,0,0,CIN_05591050824
CIN_559,CIN_05591050923,,,1,,CIN_0559105,0,0,CIN_05591050923
CIN_559,CIN_05591051023,,,1,,CIN_0559105,0,0,CIN_05591051023
CIN_559,CIN_05591051123,,,1,,CIN_0559105,0,0,CIN_05591051123
CIN_559,CIN_05591051223,,,1,,CIN_0559105,0,0,CIN_05591051223
CIN_559,CIN_05591051323,,,1,,CIN_0559105,0,0,CIN_05591051323
CIN_559,CIN_05591051423,,,1,,CIN_0559105,0,0,CIN_05591051423
CIN_559,CIN_05591051523,,,1,,CIN_0559105,0,0,CIN_05591051523
CIN_559,CIN_05591051623,,,1,,CIN_0559105,0,0,CIN_05591051623
CIN_559,CIN_05591051723,,,1,,CIN_0559105,0,0,CIN_05591051723
CIN_559,CIN_05591051823,,,1,,CIN_0559105,0,0,CIN_05591051823
CIN_559,CIN_05591051923,,,1,,CIN_0559105,0,0,CIN_05591051923
CIN_559,CIN_05591052023,,,1,,CIN_0559105,0,0,CIN_05591052023
CIN_559,CIN_05591052123,,,1,,CIN_0559105,0,0,CIN_05591052123
CIN_559,CIN_05591060725,,,1,,CIN_0559106,0,0,CIN_05591060725
CIN_559,CIN_05591060824,,,1,,CIN_0559106,0,0,CIN_05591060824
CIN_559,CIN_05591060923,,,1,,CIN_0559106,0,0,CIN_05591060923
CIN_559,CIN_05591061023,,,1,,CIN_0559106,0,0,CIN_05591061023
CIN_559,CIN_05591061123,,,1,,CIN_0559106,0,0,CIN_05591061123
